channel,audience,source,medium,campaign,content,destination,tagged_url
linkedin,agencies,linkedin,organic_social,agency_white_label_2026q3,post_operating_model,https://dimaso.co/industries/agencies,https://dimaso.co/industries/agencies?utm_source=linkedin&utm_medium=organic_social&utm_campaign=agency_white_label_2026q3&utm_content=post_operating_model
linkedin,nonprofits,linkedin,organic_social,nonprofit_support_2026q3,post_donation_qa,https://dimaso.co/blog/website-maintenance-checklist-for-nonprofits,https://dimaso.co/blog/website-maintenance-checklist-for-nonprofits?utm_source=linkedin&utm_medium=organic_social&utm_campaign=nonprofit_support_2026q3&utm_content=post_donation_qa
linkedin,woocommerce,linkedin,organic_social,woocommerce_support_2026q3,post_order_path,https://dimaso.co/services/woocommerce-maintenance,https://dimaso.co/services/woocommerce-maintenance?utm_source=linkedin&utm_medium=organic_social&utm_campaign=woocommerce_support_2026q3&utm_content=post_order_path
email,agencies,personal_email,outreach,agency_white_label_2026q3,first_contact,https://dimaso.co/industries/agencies,https://dimaso.co/industries/agencies?utm_source=personal_email&utm_medium=outreach&utm_campaign=agency_white_label_2026q3&utm_content=first_contact
email,agencies,personal_email,outreach,agency_white_label_2026q3,followup_guide,https://dimaso.co/blog/white-label-wordpress-maintenance-for-agencies,https://dimaso.co/blog/white-label-wordpress-maintenance-for-agencies?utm_source=personal_email&utm_medium=outreach&utm_campaign=agency_white_label_2026q3&utm_content=followup_guide
email,nonprofits,personal_email,outreach,nonprofit_support_2026q3,first_contact,https://dimaso.co/industries/nonprofits,https://dimaso.co/industries/nonprofits?utm_source=personal_email&utm_medium=outreach&utm_campaign=nonprofit_support_2026q3&utm_content=first_contact
email,nonprofits,personal_email,outreach,nonprofit_support_2026q3,followup_checklist,https://dimaso.co/blog/website-maintenance-checklist-for-nonprofits,https://dimaso.co/blog/website-maintenance-checklist-for-nonprofits?utm_source=personal_email&utm_medium=outreach&utm_campaign=nonprofit_support_2026q3&utm_content=followup_checklist
email,woocommerce,personal_email,outreach,woocommerce_support_2026q3,first_contact,https://dimaso.co/services/woocommerce-maintenance,https://dimaso.co/services/woocommerce-maintenance?utm_source=personal_email&utm_medium=outreach&utm_campaign=woocommerce_support_2026q3&utm_content=first_contact
email,woocommerce,personal_email,outreach,woocommerce_support_2026q3,followup_checklist,https://dimaso.co/blog/ecommerce-website-maintenance-checklist,https://dimaso.co/blog/ecommerce-website-maintenance-checklist?utm_source=personal_email&utm_medium=outreach&utm_campaign=woocommerce_support_2026q3&utm_content=followup_checklist
linkedin_profile,all,linkedin_profile,referral,dimaso_profile_2026q3,featured_website,https://dimaso.co/,https://dimaso.co/?utm_source=linkedin_profile&utm_medium=referral&utm_campaign=dimaso_profile_2026q3&utm_content=featured_website
partner_directory,agencies,partner_directory,referral,agency_white_label_2026q3,profile,https://dimaso.co/industries/agencies,https://dimaso.co/industries/agencies?utm_source=partner_directory&utm_medium=referral&utm_campaign=agency_white_label_2026q3&utm_content=profile
review_platform,all,review_platform,referral,dimaso_proof_2026q3,company_profile,https://dimaso.co/case-studies,https://dimaso.co/case-studies?utm_source=review_platform&utm_medium=referral&utm_campaign=dimaso_proof_2026q3&utm_content=company_profile
